-0.21,0.13,0.35,0.0366,-0.1395,-10.001,3.6867e+008
-0.42,0.13,0.15,0.0363,-0.1395,-10.001,3.6867e+008
-0.56,-0.81,0.19,0.0366,-0.1395,-0.9995,3.6867e+008
-0.54,-0.27,0.31,0.0378,-0.1404,-0.9988,3.6867e+008
-0.37,0.21,-0.04,0.04,-0.1407,-0.9982,3.6867e+008
-0.54,0.04,0.29,0.0427,-0.1401,-0.9982,3.6867e+008
-0.52,0.38,0.08,0.0436,-0.1395,-0.9982,3.6867e+008
-0.21,-0.15,0.33,0.0421,-0.1382,-0.9976,3.6867e+008
-0.6,-0.23,-0.06,0.04,-0.137,-0.9958,3.6867e+008
-0.52,0.35,0.12,0.0378,-0.1361,-0.9958,3.6867e+008
-0.37,0.6,0.13,0.036,-0.1355,-0.9952,3.6867e+008
-0.63,-0.6,0.1,0.0354,-0.1349,-0.9943,3.6867e+008
-0.58,-0.15,0.02,0.0351,-0.1324,-0.9937,3.6867e+008
-0.19,-0.1,0.19,0.0354,-0.1294,-0.9933,3.6867e+008
-0.71,-0.02,0.12,0.0357,-0.1282,-0.9933,3.6867e+008
-0.33,0.4,0.12,0.0348,-0.1291,-0.9937,3.6867e+008
-0.25,0.08,0.1,0.032,-0.13,-0.9924,3.6867e+008
-0.46,0,0.15,0.0308,-0.1309,-0.9906,3.6867e+008
-0.65,0.23,0.04,0.0305,-0.1312,-0.9897,3.6867e+008
-0.23,0.63,0.08,0.0314,-0.1306,-0.9891,3.6867e+008
-0.38,0.1,0.17,0.0317,-0.1297,-0.9882,3.6867e+008
-0.56,0.23,0,0.0323,-0.1288,-0.9879,3.6867e+008
-0.25,-0.42,0.29,0.033,-0.1291,-0.9882,3.6867e+008
-0.21,0.38,0.08,0.0336,-0.1306,-0.9882,3.6867e+008
-0.65,0.52,0.08,0.0342,-0.1312,-0.9882,3.6867e+008
-0.35,0,0.1,0.0354,-0.13,-0.9879,3.6867e+008
-0.23,-0.23,0.1,0.0369,-0.1279,-0.9875,3.6867e+008
-0.56,0.4,0.13,0.0366,-0.1263,-0.9875,3.6867e+008
-0.27,0.23,0.02,0.036,-0.1254,-0.9872,3.6867e+008
-0.35,0.63,0.17,0.0357,-0.1245,-0.9869,3.6867e+008
-0.48,0.63,-0.04,0.0351,-0.1227,-0.986,3.6867e+008
-0.4,-0.31,0.08,0.0351,-0.1218,-0.9848,3.6867e+008
-0.25,0.06,0.13,0.0357,-0.1221,-0.9845,3.6867e+008
-0.52,0.44,0.02,0.0378,-0.123,-0.9857,3.6867e+008
-0.42,0.42,-0.1,0.0403,-0.1236,-0.9869,3.6867e+008
-0.1,-0.17,0.37,0.0415,-0.1233,-0.9872,3.6867e+008
-0.6,-0.06,0.02,0.04,-0.123,-0.9866,3.6867e+008
-0.27,-0.29,0.04,0.0381,-0.1224,-0.9851,3.6867e+008
-0.38,0.33,0.13,0.0366,-0.1218,-0.9839,3.6867e+008
-0.29,0.62,0.06,0.036,-0.1208,-0.9827,3.6867e+008
-0.56,0,0,0.036,-0.1187,-0.9811,3.6867e+008
-0.02,0.4,0.15,0.0342,-0.1172,-0.9796,3.6867e+008
-0.25,0,0.06,0.0311,-0.1166,-0.9778,3.6867e+008
-0.29,0.06,0.08,0.0296,-0.1169,-0.9769,3.6867e+008
-0.33,0.58,0.12,0.0305,-0.1175,-0.9787,3.6867e+008
-0.19,0.17,0.1,0.0323,-0.1181,-0.9802,3.6867e+008
-0.48,-1,0.06,0.0336,-0.1178,-0.9802,3.6867e+008
-0.33,0.37,0.13,0.0339,-0.1175,-0.9805,3.6867e+008
0.06,0.52,0.1,0.0342,-0.1181,-0.9793,3.6867e+008
-0.5,-0.54,0.15,0.0348,-0.1187,-0.9787,3.6867e+008
-0.19,0.83,0.08,0.0348,-0.1193,-0.9799,3.6867e+008
-0.15,0.04,0.1,0.0345,-0.1184,-0.9814,3.6867e+008
-0.54,-0.25,0,0.0357,-0.1178,-0.9824,3.6867e+008
