-0.21	0.13	0.35	0.0366	-0.1395	-10.001	368673310
-0.42	0.13	0.15	0.0363	-0.1395	-10.001	368673330
-0.56	-0.81	0.19	0.0366	-0.1395	-0.9995	368673350
-0.54	-0.27	0.31	0.0378	-0.1404	-0.9988	368673370
-0.37	0.21	-0.04	0.0400	-0.1407	-0.9982	368673390
-0.54	0.04	0.29	0.0427	-0.1401	-0.9982	368673410
-0.52	0.38	0.08	0.0436	-0.1395	-0.9982	368673430
-0.21	-0.15	0.33	0.0421	-0.1382	-0.9976	368673450
-0.60	-0.23	-0.06	0.0400	-0.1370	-0.9958	368673470
-0.52	0.35	0.12	0.0378	-0.1361	-0.9958	368673490
-0.37	0.60	0.13	0.0360	-0.1355	-0.9952	368673510
-0.63	-0.60	0.10	0.0354	-0.1349	-0.9943	368673530
-0.58	-0.15	0.02	0.0351	-0.1324	-0.9937	368673550
-0.19	-0.10	0.19	0.0354	-0.1294	-0.9933	368673570
-0.71	-0.02	0.12	0.0357	-0.1282	-0.9933	368673590
-0.33	0.40	0.12	0.0348	-0.1291	-0.9937	368673610
-0.25	0.08	0.10	0.0320	-0.1300	-0.9924	368673630
-0.46	0.00	0.15	0.0308	-0.1309	-0.9906	368673650
-0.65	0.23	0.04	0.0305	-0.1312	-0.9897	368673670
-0.23	0.63	0.08	0.0314	-0.1306	-0.9891	368673690
-0.38	0.10	0.17	0.0317	-0.1297	-0.9882	368673710
-0.56	0.23	0.00	0.0323	-0.1288	-0.9879	368673730
-0.25	-0.42	0.29	0.0330	-0.1291	-0.9882	368673750
-0.21	0.38	0.08	0.0336	-0.1306	-0.9882	368673770
-0.65	0.52	0.08	0.0342	-0.1312	-0.9882	368673790
-0.35	0.00	0.10	0.0354	-0.1300	-0.9879	368673810
-0.23	-0.23	0.10	0.0369	-0.1279	-0.9875	368673830
-0.56	0.40	0.13	0.0366	-0.1263	-0.9875	368673850
-0.27	0.23	0.02	0.0360	-0.1254	-0.9872	368673870
-0.35	0.63	0.17	0.0357	-0.1245	-0.9869	368673890
-0.48	0.63	-0.04	0.0351	-0.1227	-0.9860	368673910
-0.40	-0.31	0.08	0.0351	-0.1218	-0.9848	368673930
-0.25	0.06	0.13	0.0357	-0.1221	-0.9845	368673950
-0.52	0.44	0.02	0.0378	-0.1230	-0.9857	368673970
-0.42	0.42	-0.10	0.0403	-0.1236	-0.9869	368673990
-0.10	-0.17	0.37	0.0415	-0.1233	-0.9872	368674010
-0.60	-0.06	0.02	0.0400	-0.1230	-0.9866	368674030
-0.27	-0.29	0.04	0.0381	-0.1224	-0.9851	368674050
-0.38	0.33	0.13	0.0366	-0.1218	-0.9839	368674070
-0.29	0.62	0.06	0.0360	-0.1208	-0.9827	368674090
-0.56	0.00	0.00	0.0360	-0.1187	-0.9811	368674110
-0.02	0.40	0.15	0.0342	-0.1172	-0.9796	368674130
-0.25	0.00	0.06	0.0311	-0.1166	-0.9778	368674150
-0.29	0.06	0.08	0.0296	-0.1169	-0.9769	368674170
-0.33	0.58	0.12	0.0305	-0.1175	-0.9787	368674190
-0.19	0.17	0.10	0.0323	-0.1181	-0.9802	368674210
-0.48	-1.00	0.06	0.0336	-0.1178	-0.9802	368674230
-0.33	0.37	0.13	0.0339	-0.1175	-0.9805	368674250
0.06	0.52	0.10	0.0342	-0.1181	-0.9793	368674270
-0.50	-0.54	0.15	0.0348	-0.1187	-0.9787	368674290
-0.19	0.83	0.08	0.0348	-0.1193	-0.9799	368674310
